epoch,model,loss_fcn,train_loss,test_loss
1,RNN,Huber,0.08653391851112247,0.04143745955079794
2,RNN,Huber,0.0393620147369802,0.03443520767614246
3,RNN,Huber,0.02517872105818242,0.0204152868129313
4,RNN,Huber,0.012963549932464957,0.008807400823570788
5,RNN,Huber,0.003061113238800317,0.004165468993596733
6,RNN,Huber,0.0025939398765331134,0.0035034565487876536
7,RNN,Huber,0.0016766034677857533,0.003910150163574144
8,RNN,Huber,0.0011815634279628284,0.0023516613233368843
9,RNN,Huber,0.0009089667655644007,0.0022492822725325825
10,RNN,Huber,0.0006769955107301939,0.0026056582282762975
11,RNN,Huber,0.0005417848587967455,0.002315296424785629
12,RNN,Huber,0.0004762377284350805,0.002200697877560742
13,RNN,Huber,0.0003862755656882655,0.002368544170167297
14,RNN,Huber,0.0003494969987514196,0.0022335788409691302
15,RNN,Huber,0.0003260576540924376,0.002137269329978153
16,RNN,Huber,0.0002767784426396247,0.002180615402176045
17,RNN,Huber,0.00025765603459149133,0.0021065338572952897
18,RNN,Huber,0.00022708135838911403,0.002089100863668136
19,RNN,Huber,0.00021407563690445386,0.002021110855275765
20,RNN,Huber,0.00017908417248690967,0.0019672461261507125
21,RNN,Huber,0.00016139815852511674,0.0019080199475865812
22,RNN,Huber,0.00014996550453361124,0.0019587586721172556
23,RNN,Huber,0.00013364669302973198,0.0018467068817699327
24,RNN,Huber,0.00012185370178485755,0.0018799542332999409
25,RNN,Huber,0.00011082001128670527,0.001822336480836384
26,RNN,Huber,0.00010670835217752028,0.0018156795951654204
27,RNN,Huber,0.00010044585633295355,0.0017641424026805907
28,RNN,Huber,8.597516170993913e-05,0.001778735377592966
29,RNN,Huber,7.886733874329366e-05,0.0017508625081973151
30,RNN,Huber,7.438186912622768e-05,0.001729352812981233
31,RNN,Huber,6.904538031449192e-05,0.0017172216554172336
32,RNN,Huber,6.288140048127389e-05,0.0016854830144438892
33,RNN,Huber,5.908962612011237e-05,0.0016809752443805337
34,RNN,Huber,5.482523738464806e-05,0.0016864361707121134
35,RNN,Huber,5.3343004765338264e-05,0.001652528185513802
36,RNN,Huber,5.2122406032140134e-05,0.0016559654439333826
37,RNN,Huber,4.7133623866102425e-05,0.001631585869472474
38,RNN,Huber,4.606430820786045e-05,0.0016349096229532733
39,RNN,Huber,4.394390657580516e-05,0.0016267566941678524
40,RNN,Huber,3.747623964045488e-05,0.0016098806285299362
41,RNN,Huber,3.4903100413430366e-05,0.0015941090474370866
42,RNN,Huber,3.315242224743997e-05,0.0015988639846909792
43,RNN,Huber,3.0191584073691047e-05,0.001575499860337004
44,RNN,Huber,2.954275396405137e-05,0.0015881124811130576
